linea,referencia,color,talla,producto,descripcion,tela,detalles
DEPORTIVO,66458,03 NEGRO,S-M-L-XL,LEGGINS,"La versatilidad para el día a día se combina con el estilo clásico en este legging largo de silueta ajustada, que cuenta con una cintura anatómica libre de elásticos y un diseño de talle alto que te brinda un ajuste perfecto, para que pongas a prueba tus limites. Su tejido genera mayor compresión y control manteniendo su forma.",VERONA,Silueta ajustada Cintura anatómica sin elástico. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Diseño minimalista en laterales. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,66584,03 NEGRO,S-M-L-XL,BIKER,"Este ciclista básico de es perfecto para los esenciales de tu guardarropa, su silueta ajustada y flexible permite que estas licras se muevan con la misma libertad que tú, cuenta con una cintura anatómica libre de elásticos y un diseño de talle alto. Su tejido transpirable cuenta con tecnología de secado rápido y genera mayor compresión y control manteniendo su forma.",VERONA,Silueta ajustada. Largo medio. Cintura anatómica sin elástico. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,65184,03 NEGRO 66 VERDE MILITAR,S-M-L,BIKER,"Marca tu mejor ritmo con este ciclista medio de silueta ajustada. Cuenta con fajón ancho y banda elástica en posterior, y su talle alto permite que la prenda te envuelva con la comodidad y elasticidad. Su tejido con tecnología transpirable y secado rápido ayuda a mantener tu piel seca en todo momento.",VERONA,Silueta ajustada. Largo corto/medio. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,63766,00 BLANCO 03 NEGRO 83 VERDE NEON 88 FUCSIA NEON,S-M-L,TOP,"Cuando tu mente y tu cuerpo están en sintonía, entrenar resulta más fácil. Este top deportivo básico de soporte medio tiene doble tela en frente que evita transparencias, elástico en base y cargaderas anchas, está diseñado para minimizar las molestias y maximizar tu concentración mientras corres o entrenas. Su tejido ligero con tecnología Laftech cuenta con absorción y secado rápido, mayor elasticidad ajuste y Comfort y protección UV, todo esto mientras los colores de tus prendas se mantienen vividos por mucho mas tiempo.",POL-SPX ACTION BASE 3723,"Silueta ajustada. Escote redondo. Doble tela en frente con cargaderas anchas y elástico en base. Tecnologia Laftech . Colores vivos mas tiempo. Protección UV . Absorción y secado rápido. Ajuste, elasticidad y comfort de movimiento. Composición: 15% Lycra - 85% Poliester."
DEPORTIVO,65178,03 NEGRO,S-M-L-XL,LEGGINS,"Luce un estilo deportivo con un toque minimalista en este leggin largo de silueta ajustada, con fajón ancho y banda elástica en posterior, y su diseño de talle alto permite que la prenda te envuelva con comodidad y  su elasticidad te brinda un ajuste perfecto. Con bandas reflexivas en la pierna para mayor visibilidad en las noches y su tejido cuenta con tecnología transpirable y secado rápido para mayor frescura.",VERONA,Silueta ajustada. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Bandas reflectivas. Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,63478,03 NEGRO 22 GRIS 24 NEGRO UNICOLOR. 66 VERDE MILITAR,S-M-L,JOGGER,"Este pantalón tipo jogger combina un look deportivo con un diseño moderno para que te veas bien incluso en tus momentos de descanso. Con banda elástica y cordón ajustable en cintura. Su linea en costados y corte en pierna le dan un toque sutil a esta prenda informal y cómoda. No importa si estás descansando en casa o planeas salir a pasear, con sus combenientes bolsillos este pantalón de silueta semiajustada te garantiza un look impecable en todo momento.","BURDA "" GALATA """,Silueta semiajustada. Cintura elástica con cordón de ajuste. Bolsillos laterales. Puños elásticos. Tiro medio. Diseño en laterales. Corte en pierna. Composición: 62% Poliester - 32% Algodón - 4% Elastano.
DEPORTIVO,63424,00 BLANCO 03 NEGRO,S-M-L-XL,SHORT,"Disfruta del running diario con estos shorts de corte clásico y silueta amplia 2 en 1, una prenda icónica creada para llevarte más lejos. Confeccionados en un tejido liviano y fresco con elástico y cordón ajustable en cintura, su short interno con tecnología laftech (protección UV, absorción y secado rápido, y mayor elasticidad, ajuste y comfort) ofrece toda la comodidad que necesitas para completar tus carreras diarias con confianza.",POL-SPX ACTION BASE 3723 / HOLLY,"Silueta amplia. Corte clásico. Short interno. Cintura elástica con cordón de ajuste. Bolsillos laterales. Tiro bajo. Tecnologia Laftech . Protección UV . Absorción y secado rápido. Ajuste, elasticidad y comfort de movimiento. Composición: 15% Lycra - 85% Poliester / 5% Poliester - 5% Spandex."
DEPORTIVO,65938,03 NEGRO,S-M-L,LEGGINS,"Complementa tu guardarropa con este leggin largo de silueta ajustada, con fajón ancho y banda elástica en posterior, y su diseño de talle alto permite que la prenda te envuelva con comodidad y su elasticidad te brinda un ajuste perfecto. Con tejido suave y fresco que mantiene su forma brindándote mayor movimiento y flexibilidad y mayor velocidad de secado y con gráficos que le añaden un toque de brillo y estilo a tus entrenamientos.",VERONA,Silueta ajustada. Fajón ancho. Banda elástica en posterior. Tejido de compresión y control. Transpirable. Secado rápido.  Diseño en laterales Talle alto. Menos costuras. Composición: 83% Poliester - 17% Elastano.
DEPORTIVO,66143,00 BLANCO 03 NEGRO,S-M-L,CAMISETA CROP,"Sin importar la velocidad o la distancia, esta camiseta estilo cropped de cuello redondo y manga corta te permite correr con total libertad. Es ligera y ventilada gracias a su material de malla, silueta holgada y abertura en espalda que ofrece facilidad de movimiento.",CROCHET ITALIA,Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Malla ligera y trasnpirable. Composición: Nylon 97% - Elastano 3%.
DEPORTIVO,66953,00 BLANCO 03 NEGRO,S-M-L,CAMISETA CROP,"Esta camiseta para entrenamiento de silueta holgada estilo cropped on diseño 3D en frente es perfecta para usar para ir al gimnasio o en tu día a día. Con cuello redondo y manga corta rodada tiene un diseño sencillo y clásico, confeccionada con material ligero y fresco por su gran componente de algodón.",LYCRA FRIA ANDES,Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Material ligero y fresco. Diseño en 3D en frente. Composición: 94% Algodón - 6% Elastano.
DEPORTIVO,63023,11 GRIS,S-M-L,CAMISILLA,"Te sentirás muy fresca durante y después de tu entrenamiento con esta camisilla deportiva de de malla transpirable suave y ligera que te brinda una mejor ventilación manteniéndote fresca. Es estilo cropped con manga sisa, cuello redondo y de silueta holgada, lo cual te permitirá moverte con total libertad. Ideal para combinar con nuestros leggings, shorts y bikers deportivos.",NYL SPX REF 539 (540),Silueta holgada. Cuello redondo. Manga corta. Estilo cropped. Material ligero y fresco. Diseño en frente. Composición: 81% Nylon - 18% Spandex.
DEPORTIVO,66048,71 NEGRO CROSS,S-M-L-XL,SUDADERA,"Esta versión moderna de la clásica sudadera hará que luces estilo sin sacrificar la comodidad. Su silueta amplia con  bota recta y ajuste mas flojo desde la cadera, cintura con elástico y cordón de ajuste, convenientes bolsillos laterales, sesgos en contraste. Su tejido ligero te brindara comodidad y libertad de movimiento.",BURDA NUEVA FLORIDA,Silueta amplia. Pierna recta. Cintura elástica con cordón de ajuste. Bolsillos laterales. Tiro bajo. Material ligero y fresco. Sesgos de contraste en laterales. Composición: 62% Poliester - 33% Algodón - 4% Spandex.
DAMA,70454,00 BLANCO 03 NEGRO 47 NATURAL 63 ROSA POLVOROSO 67 COBRE NUDE 84 PERLA,S-M-L-XL,BOXER DAMA,"Este panty tipo bóxer con control de abdomen es ideal para ti si te gustan los panties de buen cubrimiento y que te hacen sentir que todo está en su lugar. Elaborado en un material muy suave y ligero te brinda máxima comodidad y su realce natural de cadera se ajusta a tu cuerpo realzando tu figura. Con su refuerzo interno en algodón 100% que te brinda mayor frescura, puedes usarlo en el día a día, o para dormir, ¡es perfecto para cualquier momento!",TABITA / POWERNET ESP / ALGODÓN 100%,"Panty estilo bóxer. Control de abdomen. Realce natural de cadera. Ajuste perfecto que se adapta a tu cuerpo. Máxima comodidad. Tela lisa, ligera y suave al tacto. Refuerzo inferior 100% en algodón. Composición: 79% poliamida, 21% elastano."
